mc	mc_onset	color_name	label
1	3/4	black	f_dcml
1	3/4	red	f_fh
4	0	black	C7_1
4	0	red	C7_1
6	0	black	f
6	0	red	f
7	0	black	eo_1
7	0	red	C7_2
8	0	black	f_1
8	0	red	f_1
8	1/2	black	go_1
8	1/2	red	go_1
9	0	black	C
9	0	red	C7
9	3/4	black	c
9	3/4	red	c
12	0	black	DbM7_3
12	0	red	DbM7_1
13	0	black	bbm7
13	0	red	bbm7
14	0	black	Eb7_2
14	0	red	Eb7_2
15	0	black	Ab
15	0	red	Ab
16	0	black	bb_1
16	0	red	bb_1
16	1/2	black	Bb7_1
16	1/2	red	Bb7_1
17	0	black	Eb
17	0	red	Eb
17	3/4	black	Ab_1
18	0	black	bb_1
18	0	red	bb_1
18	1/2	black	Bb7_1
18	1/2	red	Bb7_1
19	0	black	Eb
19	0	red	Eb
19	3/4	black	Ab_1
20	0	black	bb_1
20	0	red	bb_1
20	1/2	black	Bb7_1
20	1/2	red	Bb7_1
21	0	black	Eb
21	0	red	Eb
21	3/4	black	Eb7
21	3/4	red	Eb7
23	1/2	black	Ab_2
23	1/2	red	Ab_2
23	3/4	black	Eb7
23	3/4	red	Eb7
25	1/2	black	Ab_2
25	1/2	red	Ab_2
25	3/4	black	Eb7
25	3/4	red	Eb7
26	1/2	black	Eb7_3
26	1/2	red	Eb7_3
27	0	black	Ab_1
27	0	red	Ab_1
27	1/2	black	Eb_1
27	1/2	red	Eb_1
28	0	black	Ab
28	0	red	Ab
28	1/2	black	Bb7_2
28	1/2	red	do_1
29	0	black	Eb
29	0	red	Eb
29	1/2	black	Bb7_2
29	1/2	red	do_1
30	0	black	Eb
30	0	red	Eb
30	1/2	black	go7_2
30	1/2	red	go7_2
31	0	black	Ab_1
31	0	red	Ab_1
31	1/2	black	go7_2
31	1/2	red	go7_2
32	0	black	Ab_1
32	0	red	Ab_1
32	1/2	black	Eb_1
32	1/2	red	Eb_1
33	0	black	Ab
33	0	red	Ab
33	1/2	black	Eb7_2
33	1/2	red	Eb7_2
34	0	black	Ab_1
34	0	red	Ab_1
35	0	black	bb_1
35	0	red	bb_1
36	0	black	Eb
36	0	red	Ab_2
37	0	black	Eb7_3
37	0	red	Eb7_3
38	0	black	Ab_1
38	0	red	Ab_1
39	0	black	bb_1
39	0	red	bb_1
40	0	black	Eb
40	0	red	Ab_2
41	0	black	Eb7
41	0	red	Eb7_3
42	0	black	Ab
42	0	red	Ab
42	1/2	black	do7
42	1/2	red	do7
43	0	black	Eb
43	0	red	Ab_2
43	1/2	black	Eb7
43	1/2	red	Eb7
44	0	black	Ab
44	0	red	Ab
44	1/2	black	do7
44	1/2	red	do7
45	0	black	Eb
45	0	red	Ab_2
45	1/2	black	Eb7
45	1/2	red	Eb7
46	0	black	Ab
46	0	red	Ab
46	1/2	black	do7
46	1/2	red	do7
47	0	black	Eb
47	0	red	Ab_2
47	1/2	black	Eb7
47	1/2	red	Eb7
48	0	black	Ab
48	0	red	Ab
53	0	black	Eb7_1
53	0	red	Eb7_1
54	0	red	go_1
55	0	black	eo7_1
55	0	red	eo7_1
56	0	red	E
57	0	black	F
57	0	red	F
57	3/4	black	F7
57	3/4	red	F7
59	1/2	black	bb_2
59	1/2	red	Bb_2
59	3/4	black	F7
59	3/4	red	F7
61	1/2	black	bb_2
61	1/2	red	Bb_2
61	3/4	black	F7
61	3/4	red	F7
62	1/2	black	F7_3
63	0	black	bb_1
63	0	red	bb_1
63	1/2	black	F_2
63	1/2	red	F_2
64	0	black	bb
64	0	red	bb
64	1/2	black	gbo_1
64	1/2	red	Gb
65	0	black	G
65	0	red	G
65	3/4	black	G7
